phone:  7182207846 latitude: 40.8502883 longitude: -73.8786113
phone:  2129323030 latitude: 40.7925587 longitude: -73.9680572
phone:  2129952570 latitude: 40.72589 longitude: -73.996984
phone:  7186526827 latitude: 40.890326 longitude: -73.848573
phone:  2126870820 latitude: 40.7516269 longitude: -73.97535
phone:  7188057835 latitude: 40.7001121 longitude: -73.8309503
phone:  2127372850 latitude: 40.7673191 longitude: -73.9691799
phone:  9172998133 latitude: 40.7731024 longitude: -73.872255
phone:  7183513906 latitude: 40.5734023 longitude: -74.1177623
phone:  7189668445 latitude: 40.5564316 longitude: -74.1523097
phone:  2125666666 latitude: 40.7092038 longitude: -74.0061936
phone:  7188228965 latitude: 40.829411 longitude: -73.81364
phone:  2125296732 latitude: 40.7375638 longitude: -73.9891878
phone:  7188971700 latitude: 40.7293762 longitude: -73.8613715
phone:  2127440938 latitude: 40.765431 longitude: -73.965531
phone:  7186413082 latitude: 40.6627235 longitude: -73.840437
phone:  7188322695 latitude: 40.652779 longitude: -74.002944
phone:  7183366700 latitude: 40.588853 longitude: -73.9727638
phone:  7182274285 latitude: 40.507255 longitude: -74.22679
phone:  7182354485 latitude: 40.6731108 longitude: -73.8711024
phone:  7187268888 latitude: 40.7623288 longitude: -73.9402474
phone:  2129287867 latitude: 40.8422945 longitude: -73.9395182
phone:  2129661277 latitude: 40.7188698 longitude: -73.9973041
phone:  2124735239 latitude: 40.729795 longitude: -74.001043
phone:  2129299580 latitude: 40.7371344 longitude: -73.9979214
phone:  7183839848 latitude: 40.7253944 longitude: -73.9446421
phone:  7183801918 latitude: 40.7271349 longitude: -73.786481
phone:  7182664891 latitude: 40.576366 longitude: -73.982241
phone:  2122473491 latitude: 40.7655827 longitude: -73.9827418
phone:  3474270519 latitude: 40.8724377 longitude: -73.8778654
phone:  7186583406 latitude: 40.702028 longitude: -73.808593
phone:  7184749600 latitude: 40.5812137 longitude: -73.8299395
phone:  7187881691 latitude: 40.6701725 longitude: -73.9858621
phone:  2128746780 latitude: 40.7865322 longitude: -73.9721743
phone:  7183364195 latitude: 40.599217 longitude: -73.955074
phone:  7187691254 latitude: 40.60021 longitude: -73.942194
phone:  7187931491 latitude: 40.7272651 longitude: -73.8221567
phone:  7184486000 latitude: 40.629819 longitude: -74.112238
phone:  2123718844 latitude: 40.7594184 longitude: -73.9690789
phone:  7186469212 latitude: 40.5943372 longitude: -73.9300263
phone:  7189927347 latitude: 40.8401362 longitude: -73.9168424
phone:  2127520340 latitude: 40.760274 longitude: -73.974905
phone:  7187409118 latitude: 40.7308061 longitude: -73.7427047
phone:  7183510600 latitude: 40.58834 longitude: -74.104656
phone:  2126431688 latitude: 40.753182 longitude: -73.996823
phone:  2127440585 latitude: 40.771054 longitude: -73.9593019
phone:  2127657562 latitude: 40.7686093 longitude: -73.9855792
phone:  7188455100 latitude: 40.655669 longitude: -73.83857
phone:  7189341288 latitude: 40.5835393 longitude: -73.9502413
phone:  7184491230 latitude: 40.5947388 longitude: -73.981309
phone:  7182207937 latitude: 40.8502883 longitude: -73.8786113
phone:  2129822343 latitude: 40.729016 longitude: -74.0025039
phone:  2126331986 latitude: 40.7335084 longitude: -74.0034102
phone:  7187454371 latitude: 40.6202393 longitude: -74.0078144
phone:  7184230100 latitude: 40.761876 longitude: -73.760782
phone:  3472683989 latitude: 40.7296423 longitude: -73.7798308
phone:  2123553345 latitude: 40.757028 longitude: -73.976915
phone:  2127516622 latitude: 40.764834 longitude: -73.970169
phone:  7187789564 latitude: 40.67096 longitude: -73.942599
phone:  2123027500 latitude: 40.7592843 longitude: -73.9873049
phone:  7183992020 latitude: 40.6892942 longitude: -73.9695379
phone:  7185224988 latitude: 40.6895078 longitude: -73.9808063
phone:  2128896680 latitude: 40.7475287 longitude: -73.9735423
phone:  7188852086 latitude: 40.8377713 longitude: -73.7826735
phone:  7187563377 latitude: 40.663263 longitude: -73.932077
phone:  7188551545 latitude: 40.684236 longitude: -74.0018435
phone:  2124737676 latitude: 40.7364597 longitude: -73.9866918
phone:  7182251475 latitude: 40.7546781 longitude: -73.7609044
phone:  7186553201 latitude: 40.8977501 longitude: -73.8672049
phone:  2122269060 latitude: 40.7258405 longitude: -74.0094737
phone:  7187794875 latitude: 40.7545592 longitude: -73.8978737
phone:  7189483800 latitude: 40.5595789 longitude: -74.1695538
phone:  7184567020 latitude: 40.701015 longitude: -73.922642
phone:  2127174700 latitude: 40.77012 longitude: -73.9574192
phone:  7183529631 latitude: 40.7702099 longitude: -73.792701
phone:  2125050657 latitude: 40.7287609 longitude: -74.0007509
phone:  2127531530 latitude: 40.7552269 longitude: -73.9704988
phone:  7187466063 latitude: 40.780748 longitude: -73.802319
